FPTAS,4,1509,0.002958220312
FPTAS,10,9698,0.001117398931
FPTAS,15,14804,0.0009680183419
FPTAS,20,19871,0.0006197811058
FPTAS,22,21117,0.000463832547
FPTAS,25,25391,0.0004681533479
FPTAS,27,32388,0.000422828064
FPTAS,30,40582,0.0003398016065
FPTAS,32,39353,0.0003539909774
FPTAS,35,70056,0.0003116301782
FPTAS,37,79067,0.0003181798977
FPTAS,40,97155,0.00023648479
FPTAS,4,1923,0.008286394571
FPTAS,10,3459,0.004264090107
FPTAS,15,4007,0.003301456542
FPTAS,20,5856,0.002256384288
FPTAS,22,5420,0.001968453425
FPTAS,25,6524,0.001765054687
FPTAS,27,7118,0.001608809613
FPTAS,30,8081,0.001395019018
FPTAS,32,9168,0.00132364553
FPTAS,35,12195,0.001242452496
FPTAS,37,13008,0.00124214669
FPTAS,40,16373,0.001081508744
FPTAS,4,826,0.01507226213
FPTAS,10,1499,0.008171763918
FPTAS,15,2194,0.006171351858
FPTAS,20,2844,0.004356352442
FPTAS,22,3156,0.003628788035
FPTAS,25,4205,0.0032334954
FPTAS,27,4755,0.003045921454
FPTAS,30,5725,0.002757737346
FPTAS,32,5785,0.002621979879
FPTAS,35,7713,0.002387663372
FPTAS,37,7873,0.002343662676
FPTAS,40,9654,0.00205853316
FPTAS,4,781,0.02910281154
FPTAS,10,1321,0.0126344265
FPTAS,15,1650,0.00827103612
FPTAS,20,2586,0.006182294708
FPTAS,22,2736,0.005971474334
FPTAS,25,3026,0.004959111662
FPTAS,27,3927,0.004336101611
FPTAS,30,4447,0.003845806193
FPTAS,32,4883,0.003880529413
FPTAS,35,6016,0.003593839002
FPTAS,37,6406,0.003476133318
FPTAS,40,7207,0.003198517574
FPTAS,4,764,0.02790097626
FPTAS,10,1324,0.01579345593
FPTAS,15,1614,0.01184242853
FPTAS,20,1931,0.008402481402
FPTAS,22,2408,0.00709048152
FPTAS,25,2786,0.006277933454
FPTAS,27,3276,0.005952978879
FPTAS,30,3916,0.005367737219
FPTAS,32,3804,0.00509253061
FPTAS,35,5513,0.004555284039
FPTAS,37,5303,0.004618575776
FPTAS,40,6141,0.00394138108
FPTAS,4,854,0.02929192693
FPTAS,10,1493,0.01601191101
FPTAS,15,1666,0.01434996526
FPTAS,20,2289,0.00944242883
FPTAS,22,2401,0.008818294996
FPTAS,25,2690,0.007743133863
FPTAS,27,2951,0.007289518258
FPTAS,30,3377,0.006351289243
FPTAS,32,3352,0.00632931653
FPTAS,35,4499,0.005462329923
FPTAS,37,4868,0.005366404387
FPTAS,40,5215,0.004813972638
FPTAS,4,1776,0.005305703795
FPTAS,10,2720,0.002416659186
FPTAS,15,5009,0.001841344372
FPTAS,20,7145,0.001271729816
FPTAS,22,7905,0.001055837587
FPTAS,25,9014,0.0009688004202
FPTAS,27,10661,0.0008787129471
FPTAS,30,15131,0.0008036320161
FPTAS,32,15487,0.0007855834818
FPTAS,35,22022,0.0007069398838
FPTAS,37,24653,0.0006967926938
FPTAS,40,30738,0.0005986558649
FPTAS,4,1421,0.004608453475
FPTAS,10,7655,0.001878543774
FPTAS,15,11263,0.00119659323
FPTAS,20,17937,0.0009162139213
FPTAS,22,20039,0.0008621657103
FPTAS,25,21393,0.0007234883509
FPTAS,27,21637,0.000649604065
FPTAS,30,27326,0.0005249363526
FPTAS,32,33545,0.000573547482
FPTAS,35,42313,0.0005161137881
FPTAS,37,47742,0.0005036415148
FPTAS,40,65209,0.0004404521288
DPByValue,4,2890,0
DPByValue,10,5945,0
DPByValue,15,10763,0
DPByValue,20,12001,0
DPByValue,22,12951,0
DPByValue,25,20058,0
DPByValue,27,20048,0
DPByValue,30,22297,0
DPByValue,32,22095,0
DPByValue,35,27587,0
DPByValue,37,28239,0
DPByValue,40,29862,0
DPByCapacity,4,1548,0
DPByCapacity,10,1372,0
DPByCapacity,15,2373,0
DPByCapacity,20,2283,0
DPByCapacity,22,2068,0
DPByCapacity,25,2213,0
DPByCapacity,27,2211,0
DPByCapacity,30,2117,0
DPByCapacity,32,2761,0
DPByCapacity,35,2964,0
DPByCapacity,37,2937,0
DPByCapacity,40,2761,0
BranchAndBound,4,381,0
BranchAndBound,10,587,0
BranchAndBound,15,845,0
BranchAndBound,20,1327,0
BranchAndBound,22,2299,0
BranchAndBound,25,9623,0
BranchAndBound,27,33904,0
BranchAndBound,30,312253,0
BranchAndBound,32,1229729,0
BranchAndBound,35,8518854,0
NaiveRecursionSansConfigVars,4,283,0
NaiveRecursionSansConfigVars,10,393,0
NaiveRecursionSansConfigVars,15,669,0
NaiveRecursionSansConfigVars,20,7108,0
NaiveRecursionSansConfigVars,22,24457,0
NaiveRecursionSansConfigVars,25,197999,0
NaiveRecursionSansConfigVars,27,826451,0
NaiveRecursionSansConfigVars,30,6610546,0
NaiveRecursionSansConfigVars,32,26169684,0
VWRatioHeuristic,4,332,0.01937844494
VWRatioHeuristic,10,459,0.01429187102
VWRatioHeuristic,15,528,0.004918537681
VWRatioHeuristic,20,645,0.005408686967
VWRatioHeuristic,22,684,0.006864492983
VWRatioHeuristic,25,621,0.007151991527
VWRatioHeuristic,27,681,0.007822050115
VWRatioHeuristic,30,703,0.007189308476
VWRatioHeuristic,32,723,0.005232188015
VWRatioHeuristic,35,733,0.00503627267
VWRatioHeuristic,37,724,0.006176762364
VWRatioHeuristic,40,803,0.005326895442
NaiveIteration,4,363,0
NaiveIteration,10,1406,0
NaiveIteration,15,8977,0
NaiveIteration,20,102756,0
NaiveIteration,22,455585,0
NaiveIteration,25,3578546,0